Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Short_Description,Long_Description,Keyfacts,Medicine
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"A drug reaction, often referred to as an adverse drug reaction (ADR), is an unwanted or harmful response that occurs following the administration of a medication. These reactions can vary in severity and can be classified into several categories. Allergic reactions happen when the immune system mistakenly identifies a drug as harmful, leading to symptoms such as rashes, itching, or even anaphylaxis. Side effects are predictable and often unavoidable effects that occur alongside the intended therapeutic effects of a drug, such as drowsiness from a pain relief medication. Toxic reactions may arise from excessive dosing or ineffective metabolism and elimination of the drug, resulting in toxicity. Idiosyncratic reactions are unexpected responses that occur in a small number of individuals, often influenced by genetic factors. Drug interactions occur when one medication affects the activity of another, leading to increased toxicity or reduced effectiveness. Common signs of drug reactions include skin rashes, nausea, vomiting, diarrhea, breathing difficulties, and swelling of the face, lips, or tongue. If a drug reaction is suspected, it's crucial to contact a healthcare professional, as management may involve discontinuing the drug or providing supportive care. To minimize the risk, patients should inform healthcare providers about all medications and supplements they are taking, report any known allergies, and follow prescribed dosages carefully. Understanding drug reactions is essential for safe medication use and improving patient outcomes.","A drug overdose is when you take more of a drug than your body can handle � this can cause serious harm, or even be deadly. Overdoses can happen intentionally or accidentally, often due to unknown substances, drink spiking or reactions to drugs or prescription medicines. Drugs that people most commonly overdose on include opioids, amphetamines and MDMA. Overdoses are usually treated in hospitals with treatments such as intravenous (IV) fluids, antidotes, or activated charcoal to stop the body from absorbing the drug. To prevent an overdose, avoid illegal drugs, don�t mix drugs with alcohol, watch your drink and seek support.",
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,"Malaria is a serious and potentially life-threatening disease caused by parasites that are transmitted to humans through the bites of infected female Anopheles mosquitoes. It is most prevalent in tropical and subtropical regions, particularly in parts of Africa, Asia, and Latin America. The malaria parasites belong to the Plasmodium genus, with five species that can infect humans: Plasmodium falciparum, Plasmodium vivax, Plasmodium ovale, Plasmodium malariae, and Plasmodium knowlesi, with P. falciparum being the most common and severe form. Symptoms typically appear 10 to 15 days after a mosquito bite and include fever, chills, sweating, headaches, nausea, vomiting, and fatigue. If untreated, malaria can lead to severe complications such as anemia, respiratory distress, and even death. Diagnosis is made through blood tests that detect the presence of the parasite, and treatment usually involves antimalarial medications, with the choice depending on the type of malaria, its severity, and local drug resistance patterns. Preventive measures include using insecticide-treated bed nets, indoor spraying with insecticides, taking antimalarial medications when traveling to high-risk areas, and reducing mosquito breeding sites. Malaria remains a major public health challenge, particularly in sub-Saharan Africa, where it significantly contributes to morbidity and mortality, especially among children and pregnant women. Ongoing efforts to control and eliminate malaria focus on vaccination, improved diagnostics, and increased access to treatment.","Malaria is a disease that is spread by infected mosquitoes. It's common in parts of Africa, Asia, Central and South America, the South Pacific and Eastern Europe. People in Australia who have travelled to affected areas may get malaria. You should try to prevent mosquito bites and use medicines to prevent malaria when travelling in affected areas. If you get a fever during or after returning from an area with malaria, see a doctor.","chloroquine, proguanil, mefloquine, doxycycline and malarone"
Allergy,apply calamine,cover area with bandage,,use ice to compress itching,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","An allergy is an immune system response to a substance known as an allergen, which is typically harmless to most people. When someone with an allergy encounters an allergen, their immune system overreacts by producing antibodies called immunoglobulin E (IgE), leading to a variety of symptoms that can range from mild to severe. Common allergens include pollen from trees, grasses, and weeds, dust mites, mold spores, animal dander, certain foods like nuts and shellfish, insect stings, and some medications. Symptoms of an allergic reaction may include sneezing, itchy or runny nose, skin rashes or hives, swelling, difficulty breathing, stomach cramps, and, in severe cases, anaphylaxis, which is a life-threatening reaction requiring immediate medical attention. Allergies are diagnosed through medical history, physical exams, and tests like skin prick tests or blood tests. Treatment options involve avoiding known allergens, using medications such as antihistamines and corticosteroids to alleviate symptoms, and undergoing immunotherapy to desensitize the immune system to specific allergens over time. Understanding allergies is essential for effective management and prevention, ultimately improving the quality of life for those affected.","An allergy is when your immune system reacts to something that is harmless to most people. Substances that cause allergies are called ‘allergens’ and include certain foods, animal dander, pollens and dust mites. There are different types of allergies that cause a range of symptoms — some are mild while others can be life-threatening. You can reduce the chance of experiencing an allergic reaction by avoiding the substance you are allergic to. There are medicines available to treat some types of allergies. An allergy is when your immune system reacts to something that is harmless to most people. Substances that cause allergies are called ‘allergens’ and include certain foods, animal dander, pollens and dust mites. There are different types of allergies that cause a range of symptoms — some are mild while others can be life-threatening. You can reduce the chance of experiencing an allergic reaction by avoiding the substance you are allergic to. There are medicines available to treat some types of allergies.","antihistamines, corticosteroids, decongestants and montelukast"
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.","Hypothyroidism is a medical condition characterized by an underactive thyroid gland that fails to produce enough thyroid hormones to meet the body's needs. The thyroid, located in the front of the neck, plays a crucial role in regulating metabolism, energy production, and overall growth and development. When hormone levels are insufficient, various bodily functions can slow down, leading to symptoms such as fatigue, weight gain, sensitivity to cold, dry skin, hair loss, constipation, muscle weakness, and depression. Common causes include autoimmune diseases like Hashimoto's thyroiditis, iodine deficiency, certain medications, radiation therapy, and thyroid surgery, with some individuals being born with a poorly functioning thyroid. Diagnosis typically involves blood tests to measure levels of thyroid hormones and thyroid-stimulating hormone (TSH). Treatment generally includes hormone replacement therapy, most commonly with levothyroxine, which helps restore normal hormone levels and alleviate symptoms. With appropriate treatment, individuals with hypothyroidism can lead healthy and active lives, making awareness of symptoms and timely diagnosis essential for effective management.","Hashimoto's disease, also known as Hashimoto’s thyroiditis, is an autoimmune condition. It usually causes low thyroid hormone levels in the body (hypothyroidism). Symptoms of hypothyroidism include fatigue, low mood, cold sensitivity, weight gain, constipation, dry skin, thinning hair, brittle nails, an enlarged thyroid and low libido. Hashimoto’s disease has no cure, but hypothyroidism can be treated with life-long thyroid hormone replacement medications. Hashimoto's disease, also known as Hashimoto’s thyroiditis, is an autoimmune condition. It usually causes low thyroid hormone levels in the body (hypothyroidism). Symptoms of hypothyroidism include fatigue, low mood, cold sensitivity, weight gain, constipation, dry skin, thinning hair, brittle nails, an enlarged thyroid and low libido. Hashimoto’s disease has no cure, but hypothyroidism can be treated with life-long thyroid hormone replacement medications.",levothyroxine sodium
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","Psoriasis is a chronic autoimmune condition that primarily affects the skin, causing the rapid growth of skin cells and the formation of thick, scaly patches. These patches, often red and inflamed, can appear anywhere on the body but are most commonly found on the elbows, knees, scalp, and lower back. The exact cause of psoriasis is not fully understood, but it is thought to involve a combination of genetic factors and environmental triggers, with the immune system mistakenly attacking healthy skin cells and accelerating their growth cycle. Symptoms can include red patches covered with thick, silvery scales, dry and cracked skin that may bleed, itching or burning sensations, and thickened, pitted, or ridged nails. In some cases, psoriasis can also affect the joints, leading to psoriatic arthritis, which causes pain and swelling. Diagnosis typically involves a physical examination, and treatment options vary based on severity and may include topical treatments, phototherapy, and systemic medications. While there is no cure for psoriasis, effective management can significantly reduce symptoms and improve quality of life. Understanding the condition is essential for those affected, as awareness of triggers and treatment options can help minimize its impact on daily life.","Psoriasis is a long-term inflammatory disease that causes red, scaly skin lesions (sores). For some people, psoriasis also affects their nails and joints. Your doctor will usually diagnose psoriasis by asking you some questions and examining your skin. There is no cure for psoriasis but there are many treatments that can help to keep it under control.","methotrexate, cyclosporine, and acitretin"
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","Gastroesophageal reflux disease (GERD) is a chronic digestive condition characterized by the frequent backflow of stomach acid into the esophagus, the tube that connects the throat to the stomach. This backflow, or reflux, can irritate the lining of the esophagus and lead to various symptoms, including heartburn, regurgitation, chest pain, difficulty swallowing, and a chronic cough. GERD occurs when the lower esophageal sphincter (LES), a ring of muscle that normally prevents stomach contents from flowing back up, becomes weakened or relaxes inappropriately. Common risk factors include obesity, pregnancy, smoking, certain dietary choices (such as fatty foods, caffeine, and alcohol), and specific medications. Diagnosis is typically made through a combination of medical history, symptom assessment, and tests such as endoscopy or pH monitoring. Treatment options may include lifestyle modifications, dietary changes, antacids, and prescription medications that reduce stomach acid production. In more severe cases, surgical interventions may be considered. Effectively managing GERD is essential for reducing symptoms and preventing complications, such as esophagitis or Barrett's esophagus, which can increase the risk of esophageal cancer.","Gastro-oesophageal reflux disease (GORD) is caused by acid from stomach rising up your food pipe. GORD can cause symptoms such as heartburn and regurgitation. Some GORD symptoms are the same as a heart attack — if you have severe symptoms, you should call triple zero (000). To treat GORD, you can take over the counter medicines, and make lifestyle changes. Gastro-oesophageal reflux disease (GORD) is caused by acid from stomach rising up your food pipe. GORD can cause symptoms such as heartburn and regurgitation. Some GORD symptoms are the same as a heart attack — if you have severe symptoms, you should call triple zero (000). To treat GORD, you can take over the counter medicines, and make lifestyle changes.","esomeprazole (Nexium), lansoprazole (Prevacid), omeprazole (Prilosec), pantoprazole (Protonix), rabeprazole (Aciphex) and dexlansoprazole (Dexilant)"
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","Chronic cholestasis is a condition characterized by the prolonged impairment of bile flow from the liver, leading to the accumulation of bile acids and other substances in the bloodstream. This disruption can result from various factors, including liver diseases such as primary biliary cholangitis, primary sclerosing cholangitis, or conditions affecting the bile ducts like strictures or blockages. Symptoms of chronic cholestasis may include jaundice (yellowing of the skin and eyes), itching, dark urine, pale stools, and fatigue. Over time, the condition can lead to complications such as liver damage, malabsorption of nutrients, and an increased risk of liver fibrosis or cirrhosis. Diagnosis typically involves blood tests to assess liver function, imaging studies to evaluate the bile ducts, and sometimes liver biopsy. Treatment focuses on addressing the underlying cause of the cholestasis, managing symptoms, and preventing complications, which may include medications to improve bile flow, nutritional support, or surgical interventions in certain cases. Effective management is crucial to maintaining liver health and improving the quality of life for affected individuals.","Symptoms of cholestasis include a yellowing of the skin and eyes, itching, fatigue, and nausea. Treatment depends on the cause of the condition. Some cases of cholestasis are curable with surgery and others require long-term management.","cholestyramine, rifampicin and oral opioid antagonist naltrexone"
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,"Hepatitis A is a highly contagious viral infection that primarily affects the liver, caused by the hepatitis A virus (HAV). It is transmitted through the ingestion of contaminated food or water, or through direct contact with an infected person, making it more common in areas with poor sanitation and hygiene practices. Symptoms of hepatitis A can range from mild to severe and typically include fatigue, nausea, abdominal pain, loss of appetite, fever, and jaundice (yellowing of the skin and eyes). While the acute infection usually resolves on its own within a few weeks to months, it can lead to more severe complications in rare cases, particularly in individuals with pre-existing liver conditions. Diagnosis is confirmed through blood tests that detect the virus or antibodies produced in response to the infection. Prevention is primarily achieved through vaccination, which is recommended for individuals at higher risk and in areas where the virus is endemic. Good hygiene practices, such as regular handwashing, and ensuring safe food and water sources are also crucial in preventing the spread of hepatitis A.","Hepatitis A is a viral infection of the liver. It can be spread by consuming contaminated food or drink. Symptoms include tiredness, fever, nausea and vomiting. Most people with hepatitis A make a full recovery — it does not cause chronic (long-term) liver disease. Vaccination and good hygiene can protect you against hepatitis A. Hepatitis A is a viral infection of the liver. It can be spread by consuming contaminated food or drink. Symptoms include tiredness, fever, nausea and vomiting. Most people with hepatitis A make a full recovery — it does not cause chronic (long-term) liver disease. Vaccination and good hygiene can protect you against hepatitis A.",
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.","Osteoarthritis is a degenerative joint disease characterized by the breakdown of cartilage, the protective tissue that cushions the ends of bones in the joints. This condition commonly affects weight-bearing joints such as the knees, hips, and spine, but it can occur in any joint, including the hands. As the cartilage deteriorates, bones may begin to rub against each other, leading to pain, stiffness, swelling, and decreased mobility. Risk factors for developing osteoarthritis include age, obesity, joint injuries, repetitive stress on the joints, and genetics. Symptoms often worsen with activity and improve with rest, and they can significantly impact daily life and physical function. Diagnosis typically involves a physical examination, medical history, and imaging studies like X-rays or MRIs to assess joint damage. While there is no cure for osteoarthritis, treatment options focus on managing symptoms and improving joint function. These may include lifestyle modifications, physical therapy, medications for pain relief, and in severe cases, surgical interventions such as joint replacement. Early diagnosis and appropriate management are essential for maintaining quality of life and minimizing the progression of the disease.","Osteoarthritis (OA) is a very common, ongoing condition that causes joint pain, stiffness and reduced movement. It can affect any joint in your body, but mostly occurs in the knees, hips, hands, feet and spine. OA can make it hard for you to do daily activities. Excess weight, a previous injury and repeated joint movements increase your risk of OA. Regular exercise, healthy eating, pain management and sometimes surgery can help to treat symptoms. Osteoarthritis (OA) is a very common, ongoing condition that causes joint pain, stiffness and reduced movement. It can affect any joint in your body, but mostly occurs in the knees, hips, hands, feet and spine. OA can make it hard for you to do daily activities. Excess weight, a previous injury and repeated joint movements increase your risk of OA. Regular exercise, healthy eating, pain management and sometimes surgery can help to treat symptoms.","�aspirin, celecoxib, ibuprofen, and naproxen"
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,"Paroxysmal positional vertigo (PPV), commonly known as benign paroxysmal positional vertigo (BPPV), is a vestibular disorder characterized by brief episodes of dizziness or vertigo triggered by specific changes in head position. It occurs due to the displacement of tiny calcium carbonate crystals, called otoconia, within the inner ear, which disrupts the normal function of the vestibular system responsible for maintaining balance. When the head moves in certain ways, these displaced crystals send conflicting signals to the brain, resulting in sensations of spinning or dizziness. Symptoms typically arise during movements such as tilting the head back, rolling over in bed, or looking up, and can last from a few seconds to a minute, often accompanied by nausea or balance issues. While BPPV is most commonly seen in older adults, it can affect individuals of any age, sometimes following a head injury or due to degeneration of inner ear structures. Diagnosis is usually made through clinical examination and specific tests, such as the Dix-Hallpike maneuver, while treatment often involves repositioning maneuvers like the Epley maneuver, which aim to relocate the displaced crystals. Although BPPV can be distressing, it is generally a benign condition that can be effectively managed.",Vertigo is a type of dizziness where you feel that the room is spinning or you are unbalanced. Vertigo can be distressing but it is not usually caused by a serious medical problem. The most common cause of vertigo is benign positional paroxysmal vertigo (BPPV). This is caused by crystals in the balance centre of your inner ear moving out of place. Vertigo often gets better without treatment. Your doctor may recommend exercises or medicines that can help.,"prochlorperazine, promethazine (Phenergan), meclizine, diphenidol, and scopolamine"
