Key_words,Definition,Url
ADD,"Attention deficit hyperactivity disorder (ADHD) is a developmental disorder that begins in early childhood. ADHD affects your brain’s executive functioning — and your ability to self-regulate and control thoughts, words, actions and emotions. If you are concerned that you may have ADHD, the first step is to see a doctor. Attention deficit hyperactivity disorder (ADHD) is a developmental disorder that begins in early childhood. ADHD affects your brain’s executive functioning — and your ability to self-regulate and control thoughts, words, actions and emotions. If you are concerned that you may have ADHD, the first step is to see a doctor.",https://www.healthdirect.gov.au/zinc-deficiency
AIDS and HIV infection,"Human immunodeficiency virus (HIV) is a sexually transmitted infection (STI) that affects your immune system by destroying CD4 cells. You are at a higher risk of getting HIV if you have unprotected sex, share needles, already have another STI and get a piercing or tattoo with unsterile equipment. Untreated HIV usually leads to acquired immunodeficiency syndrome (AIDS) within 10 years. HIV can be diagnosed by doing a blood test. Antiretroviral therapy is very effective treatment for HIV; if you take your treatment properly, you can live a long and healthy life with HIV. Human immunodeficiency virus (HIV) is a sexually transmitted infection (STI) that affects your immune system by destroying CD4 cells. You are at a higher risk of getting HIV if you have unprotected sex, share needles, already have another STI and get a piercing or tattoo with unsterile equipment. Untreated HIV usually leads to acquired immunodeficiency syndrome (AIDS) within 10 years. HIV can be diagnosed by doing a blood test. Antiretroviral therapy is very effective treatment for HIV; if you take your treatment properly, you can live a long and healthy life with HIV.",https://www.healthdirect.gov.au/hydrocephalus
Abdominal aortic aneurysm,An aortic aneurysm is a bulge or weakness in your aorta (one of the main blood vessels in your body). Aortic aneurysms can happen in your tummy (abdominal aortic aneurysm) or in your chest (thoracic aortic aneurysm). The main treatment for small abdominal aortic aneurysms that are not causing symptoms is regular monitoring with ultrasound or CT scans. Surgery may be recommended for larger abdominal aortic aneurysms. This is because they are more likely to burst. Ruptured (burst) abdominal aortic aneurysms are a medical emergency and need immediate treatment with surgery. Key facts An aortic aneurysm is a bulge or weakness in your aorta (one of the main blood vessels in your body). Aortic aneurysms can happen in your tummy (abdominal aortic aneurysm) or in your chest (thoracic aortic aneurysm). The main treatment for small abdominal aortic aneurysms that are not causing symptoms is regular monitoring with ultrasound or CT scans. Surgery may be recommended for larger abdominal aortic aneurysms. This is because they are more likely to burst. Ruptured (burst) abdominal aortic aneurysms are a medical emergency and need immediate treatment with surgery.,https://www.healthdirect.gov.au/zika-virus
Achalasia,"Achalasia is a rare condition affecting the oesophagus (the food pipe) that prevents food from entering the stomach properly. Symptoms of achalasia include difficulty swallowing, regurgitating undigested food, coughing, choking and weight loss. To diagnose achalasia, your doctor may refer you for imaging tests of the oesophagus. Achalasia treatments include medicines, surgery and Botox injections into the valve at the end of the oesophagus. Achalasia is a rare condition affecting the oesophagus (the food pipe) that prevents food from entering the stomach properly. Symptoms of achalasia include difficulty swallowing, regurgitating undigested food, coughing, choking and weight loss. To diagnose achalasia, your doctor may refer you for imaging tests of the oesophagus. Achalasia treatments include medicines, surgery and Botox injections into the valve at the end of the oesophagus.",https://www.healthdirect.gov.au/self-harm
Achilles tendon,"The Achilles tendon is the thick cord you can feel at the back of your ankle that attaches the calf muscle to the back of your heel. The 2 most common injuries of the Achilles tendon are Achilles tendinopathy (weakness due to tiny tears in the tendon) or sudden rupture (break or tear) of the tendon. Achilles tendon injuries can cause pain, swelling, weakness and reduced movement at the back of your ankle. To diagnose a tendon injury, your doctor will examine you and ask about your symptoms and may refer you for an ultrasound or x-ray. Most Achilles tendon injuries do not need surgery — see your doctor for a treatment plan, which may involve physiotherapy. The Achilles tendon is the thick cord you can feel at the back of your ankle that attaches the calf muscle to the back of your heel. The 2 most common injuries of the Achilles tendon are Achilles tendinopathy (weakness due to tiny tears in the tendon) or sudden rupture (break or tear) of the tendon. Achilles tendon injuries can cause pain, swelling, weakness and reduced movement at the back of your ankle. To diagnose a tendon injury, your doctor will examine you and ask about your symptoms and may refer you for an ultrasound or x-ray. Most Achilles tendon injuries do not need surgery — see your doctor for a treatment plan, which may involve physiotherapy.",https://www.healthdirect.gov.au/yellow-fever
Acne,"Acne is a common skin condition that causes spots or pimples on your face, neck, back or chest. Acne most commonly affects people between 16 and 18 years of age. There are different types of acne — it can be mild, moderate or severe. Untreated acne can leave you with skin scars — it is important to get treatment. If your acne is severe, your doctor may refer you to a dermatologist (skin specialist), who may prescribe medicines. Acne is a common skin condition that causes spots or pimples on your face, neck, back or chest. Acne most commonly affects people between 16 and 18 years of age. There are different types of acne — it can be mild, moderate or severe. Untreated acne can leave you with skin scars — it is important to get treatment. If your acne is severe, your doctor may refer you to a dermatologist (skin specialist), who may prescribe medicines.",https://www.healthdirect.gov.au/huntingtons-disease
Acromegaly,"Acromegaly is a rare disorder that affects adults and is caused by overproduction of growth hormone. Signs of acromegaly include changes to facial features, enlarged lips or tongue and enlarged hands and feet. Acromegaly is usually caused by the brain’s pituitary gland producing too much growth hormone, usually because of a benign tumour. Acromegaly is usually diagnosed with blood tests and an MRI or CT scan. Treatment options for acromegaly include surgery, radiation therapy and various medicines. Acromegaly is a rare disorder that affects adults and is caused by overproduction of growth hormone. Signs of acromegaly include changes to facial features, enlarged lips or tongue and enlarged hands and feet. Acromegaly is usually caused by the brain’s pituitary gland producing too much growth hormone, usually because of a benign tumour. Acromegaly is usually diagnosed with blood tests and an MRI or CT scan. Treatment options for acromegaly include surgery, radiation therapy and various medicines.",https://www.healthdirect.gov.au/work-related-stress
Addiction,Addiction is when you have a need or urge to do something or use something that can interfere with your functioning in other areas of your life. It's possible to be addicted to anything. Living with an addiction can seriously damage your work performance and relationships if it is not addressed early. Key facts Addiction is when you have a need or urge to do something or use something that can interfere with your functioning in other areas of your life. It's possible to be addicted to anything. Living with an addiction can seriously damage your work performance and relationships if it is not addressed early.,https://www.healthdirect.gov.au/wolff-parkinson-white-syndrome
Addison's disease,"Addison's disease is a rare condition where the adrenal glands do not produce enough of the hormones cortisol and aldosterone. The main symptoms of Addison’s disease are weight loss, muscle weakness, fatigue, low blood pressure, and sometimes darkening of the skin in both exposed and non-exposed parts of the body. Addison's disease may be caused by anything that damages the adrenal glands like autoimmune disease, infections or caner. An Addisonian crisis is when a stressful event like an injury, surgery or illness causes the symptoms of Addison’s disease to worsen suddenly. Treatment for Addison's disease requires life-long steroid replacement therapy. Addison's disease is a rare condition where the adrenal glands do not produce enough of the hormones cortisol and aldosterone. The main symptoms of Addison’s disease are weight loss, muscle weakness, fatigue, low blood pressure, and sometimes darkening of the skin in both exposed and non-exposed parts of the body. Addison's disease may be caused by anything that damages the adrenal glands like autoimmune disease, infections or caner. An Addisonian crisis is when a stressful event like an injury, surgery or illness causes the symptoms of Addison’s disease to worsen suddenly. Treatment for Addison's disease requires life-long steroid replacement therapy.",https://www.healthdirect.gov.au/hodgkin-lymphoma
Adrenal fatigue,Adrenal fatigue is a term used to explain a condition caused by chronic (long-term) exposure to stressful situations. Adrenal fatigue is not currently an accepted medical diagnosis. It’s important to check with your doctor that there isn’t another cause for your tiredness. Key facts Adrenal fatigue is a term used to explain a condition caused by chronic (long-term) exposure to stressful situations. Adrenal fatigue is not currently an accepted medical diagnosis. It’s important to check with your doctor that there isn’t another cause for your tiredness.,https://www.healthdirect.gov.au/whiplash
Agnosia,"If you have agnosia, you will find it difficult or impossible to recognise objects, people, smells, flavours, tastes or sounds. Agnosia can develop suddenly from events such as a stroke, infection, or injury. Agnosia can also develop gradually over time due to conditions such as brain tumours, dementia, or Parkinson's disease. Therapy typically involves learning to compensate using other senses, retraining skills and changing the environment or expectations for easier daily functioning. If you have agnosia, you will find it difficult or impossible to recognise objects, people, smells, flavours, tastes or sounds. Agnosia can develop suddenly from events such as a stroke, infection, or injury. Agnosia can also develop gradually over time due to conditions such as brain tumours, dementia, or Parkinson's disease. Therapy typically involves learning to compensate using other senses, retraining skills and changing the environment or expectations for easier daily functioning.",https://www.healthdirect.gov.au/hives
